headtype,S,B,block,kernel,best_splits,median_ms,pct_of_sol,ratio_vs_flashinfer
32x8,2048,128,16,flashinfer,,0.37408000230789185,85.68219244151898,1.0
32x8,2048,128,16,v1,,1.2475199699401855,25.692570474687827,0.29985892917275525
32x8,2048,128,16,v2,8,1.1395519971847534,28.126838288601697,0.3282693578108336
32x8,2048,128,64,flashinfer,,0.3710399866104126,86.38420629289978,1.0
32x8,2048,128,64,v1,,1.247007966041565,25.70311948207739,0.29754419916676395
32x8,2048,128,64,v2,8,1.1380800008773804,28.163217631061787,0.32602276318392964
32x8,2048,1,16,flashinfer,,0.023615999147295952,10.603244325739041,1.0
32x8,2048,1,16,v1,,0.26185598969459534,0.9562745127475394,0.09018697328573418
32x8,2048,1,16,v2,32,0.03363199904561043,7.445475025603818,0.7021883865799603
32x8,2048,1,16,v0,,1.0477440357208252,0.23899559474270812,0.022539855482020144
32x8,2048,1,64,flashinfer,,0.02393599972128868,10.461489466534065,1.0
32x8,2048,1,64,v1,,0.26105600595474243,0.9592049339735749,0.09168913633589533
32x8,2048,1,64,v2,32,0.03328000009059906,7.524225008219235,0.7192307588980484
32x8,2048,1,64,v0,,1.046496033668518,0.23928060967170475,0.0228725183385363
32x8,2048,32,16,flashinfer,,0.10819199681282043,74.06276732677556,1.0
32x8,2048,32,16,v1,,0.5114880204200745,15.666053488381321,0.21152400934818494
32x8,2048,32,16,v2,16,0.3163520097732544,25.32937499689187,0.3419987655218854
32x8,2048,32,64,flashinfer,,0.10716799646615982,74.77044407653369,1.0
32x8,2048,32,64,v1,,0.5114560127258301,15.667033893807389,0.20953511895383278
32x8,2048,32,64,v2,16,0.3164159953594208,25.324252895196086,0.3386933594947575
32x8,2048,8,16,flashinfer,,0.04774399846792221,41.958146278588615,1.0
32x8,2048,8,16,v1,,0.49404799938201904,4.054767298213047,0.09663838033479114
32x8,2048,8,16,v2,8,0.10320000350475311,19.411333368312594,0.4626356283575441
32x8,2048,8,16,v0,,1.9332480430603027,1.0362093363201736,0.024696261113159684
32x8,2048,8,64,flashinfer,,0.04700800031423569,42.61507952371112,1.0
32x8,2048,8,64,v1,,0.4954879879951477,4.042983321850798,0.09487212899840478
32x8,2048,8,64,v2,8,0.10374400019645691,19.309547230184847,0.4531153630592424
32x8,2048,8,64,v0,,1.937119960784912,1.0341381598432775,0.024266953655873877
32x8,32768,128,16,flashinfer,,5.483424186706543,93.52402777511834,1.0
32x8,32768,128,16,v1,,19.446880340576172,26.370909213148597,0.28196934884539326
32x8,32768,128,16,v2,32,16.889663696289062,30.363654668445296,0.3246615376901401
32x8,32768,128,64,flashinfer,,5.509791851043701,93.07645911218124,1.0
32x8,32768,128,64,v1,,19.54204750061035,26.242486409076697,0.2819454742841872
32x8,32768,128,64,v2,32,16.856800079345703,30.422850928193725,0.32685870539538153
32x8,32768,1,16,flashinfer,,0.0689919963479042,58.071943926366586,1.0
32x8,32768,1,16,v1,,7.583327770233154,0.5283299713102602,0.00909785234639581
32x8,32768,1,16,v2,64,0.1966720074415207,20.371477341405036,0.3507972346721411
32x8,32768,1,64,flashinfer,,0.0681919977068901,58.75321853019663,1.0
32x8,32768,1,64,v1,,7.645472049713135,0.5240355752047918,0.008919265843035647
32x8,32768,1,64,v2,64,0.19804799556732178,20.2299413927755,0.3443205648789807
32x8,32768,32,16,flashinfer,,1.3866239786148071,92.4605235178107,1.0
32x8,32768,32,16,v1,,7.983424186706543,16.059271809527274,0.1736878745493343
32x8,32768,32,16,v2,64,4.34438419342041,29.51119727837289,0.3191761862854707
32x8,32768,32,64,flashinfer,,1.3809280395507812,92.8418971250529,1.0
32x8,32768,32,64,v1,,7.921951770782471,16.183887846670288,0.17431664310856862
32x8,32768,32,64,v2,64,4.3152642250061035,29.710342704424615,0.3200100776097501
32x8,32768,8,16,flashinfer,,0.369951993227005,86.63825397097222,1.0
32x8,32768,8,16,v1,,7.65228796005249,4.188550524181894,0.04834527858312161
32x8,32768,8,16,v2,64,1.1624959707260132,27.57170394857475,0.31823937677475045
32x8,32768,8,64,flashinfer,,0.3670400083065033,87.3256157936414,1.0
32x8,32768,8,64,v1,,7.6976318359375,4.163877336485399,0.0476821983863822
32x8,32768,8,64,v2,64,1.1686400175094604,27.426747557880187,0.3140744821392632
32x8,512,128,16,flashinfer,,0.11286400258541107,70.99693882026945,1.0
32x8,512,128,16,v1,,0.3182080090045929,25.18163735612169,0.3546862410486407
32x8,512,128,16,v2,4,0.31484800577163696,25.450371416292494,0.35847139100913566
32x8,512,128,64,flashinfer,,0.11267200112342834,71.1179228794312,1.0
32x8,512,128,64,v1,,0.3208320140838623,24.975683020437746,0.35118690210876835
32x8,512,128,64,v2,4,0.3163839876651764,25.326814879921102,0.35612422093455354
32x8,512,1,16,flashinfer,,0.023840000852942467,2.6259039429136313,1.0
32x8,512,1,16,v1,,0.07315199822187424,0.8557736461132864,0.3258967824861649
32x8,512,1,16,v2,16,0.0244159996509552,2.5639561407987186,0.9764089610809689
32x8,512,1,16,v0,,0.26867198944091797,0.23300364272834737,0.08873273653331464
32x8,512,1,64,flashinfer,,0.023423999547958374,2.6725389961964154,1.0
32x8,512,1,64,v1,,0.07318399846553802,0.8553994527681446,0.32006996118131775
32x8,512,1,64,v2,16,0.024383999407291412,2.567320938339859,0.9606299260716855
32x8,512,1,64,v0,,0.26796799898147583,0.23361577679704024,0.08741342114353601
32x8,512,32,16,flashinfer,,0.04451199993491173,45.004710517861916,1.0
32x8,512,32,16,v1,,0.13603200018405914,14.726311962856375,0.3272171244610417
32x8,512,32,16,v2,8,0.10076799988746643,19.879819723314323,0.44172753239739704
32x8,512,32,64,flashinfer,,0.044319998472929,45.19967826409992,1.0
32x8,512,32,64,v1,,0.13583999872207642,14.747126696757155,0.32626618735182755
32x8,512,32,64,v2,8,0.10089600086212158,19.854599335203694,0.43926417394376266
32x8,512,8,16,flashinfer,,0.027008000761270523,18.543113292140188,1.0
32x8,512,8,16,v1,,0.07500799745321274,6.676786941590279,0.36006828176045
32x8,512,8,16,v2,4,0.039423998445272446,12.70323756241176,0.685064981391029
32x8,512,8,16,v0,,0.2743679881095886,1.8253310867680825,0.09843714256665735
32x8,512,8,64,flashinfer,,0.026623999699950218,18.810562783749734,1.0
32x8,512,8,64,v1,,0.07446400076150894,6.725564202686806,0.35754189175546397
32x8,512,8,64,v2,4,0.039744000881910324,12.600956290195608,0.6698872561687231
32x8,512,8,64,v0,,0.2742080092430115,1.8263960242919546,0.09709417231629883
32x8,8192,128,16,flashinfer,,1.394976019859314,91.9069411659167,1.0
32x8,8192,128,16,v1,,4.8988800048828125,26.170875558757743,0.2847540700055754
32x8,8192,128,16,v2,16,4.3106560707092285,29.742103494696266,0.3236110691683644
32x8,8192,128,64,flashinfer,,1.397760033607483,91.72388385879246,1.0
32x8,8192,128,64,v1,,4.848031997680664,26.44536567547621,0.2883149356844555
32x8,8192,128,64,v2,16,4.304448127746582,29.78499802533168,0.3247245621564089
32x8,8192,1,16,flashinfer,,0.0307839997112751,32.53718961847687,1.0
32x8,8192,1,16,v1,,1.272063970565796,0.787401309208834,0.024200040582536754
32x8,8192,1,16,v2,32,0.06646399945020676,15.070186027118169,0.46316803030094117
32x8,8192,1,64,flashinfer,,0.028991999104619026,34.54831907956688,1.0
32x8,8192,1,64,v1,,1.662816047668457,0.6023665920384512,0.01743548190148309
32x8,8192,1,64,v2,32,0.0687360018491745,14.57205552948414,0.4217876851236615
32x8,8192,32,16,flashinfer,,0.36822399497032166,87.04482919113406,1.0
32x8,8192,32,16,v1,,2.004415988922119,15.99069001814574,0.1837063748270813
32x8,8192,32,16,v2,32,1.1425600051879883,28.052789000779928,0.32227978688063463
32x8,8192,32,64,flashinfer,,0.36323198676109314,88.24111288235763,1.0
32x8,8192,32,64,v1,,1.9979519844055176,16.042424941360935,0.18180216021015708
32x8,8192,32,64,v2,32,1.140928030014038,28.092915506576066,0.31836538081777505
32x8,8192,8,16,flashinfer,,0.11142399907112122,71.9144776113494,1.0
32x8,8192,8,16,v1,,1.9309439659118652,4.1497831257796856,0.057704418687521346
32x8,8192,8,16,v2,32,0.3284800052642822,24.394174860415678,0.339210902598086
32x8,8192,8,64,flashinfer,,0.11027199774980545,72.66576148142107,1.0
32x8,8192,8,64,v1,,1.9378559589385986,4.13498157569773,0.05690412501567122
32x8,8192,8,64,v2,32,0.32736000418663025,24.477634970944393,0.33685238373512055
64x8,2048,128,16,flashinfer,,0.3712320029735565,86.33952485112597,1.0
64x8,2048,128,16,v1,,2.2699520587921143,14.120119683639551,0.16354178121765986
64x8,2048,128,16,v2,4,2.175136089324951,14.735627303308604,0.17067070184503608
64x8,2048,128,64,flashinfer,,0.3731200098991394,85.90264230249363,1.0
64x8,2048,128,64,v1,,2.244960069656372,14.277311734624632,0.16620340599476743
64x8,2048,128,64,v2,4,2.172703981399536,14.752122249816344,0.17173071577785579
64x8,2048,1,16,flashinfer,,0.024191999807953835,10.350785835939673,1.0
64x8,2048,1,16,v1,,0.2635200023651123,0.9502360606701914,0.09180327713581046
64x8,2048,1,16,v2,16,0.04169600084424019,6.005521006454376,0.5801995231707138
64x8,2048,1,16,v0,,1.0390080213546753,0.24100507773630103,0.023283746911223955
64x8,2048,1,64,flashinfer,,0.02380800060927868,10.517733641926789,1.0
64x8,2048,1,64,v1,,0.25968000292778015,0.9642876083333399,0.09168207155288713
64x8,2048,1,64,v2,16,0.04150399938225746,6.033303119753562,0.5736314804268322
64x8,2048,1,64,v0,,1.0437120199203491,0.23991887050829752,0.02281089050895053
64x8,2048,32,16,flashinfer,,0.1088000014424324,73.64888401041935,1.0
64x8,2048,32,16,v1,,0.6556479930877686,12.22149502636318,0.16594270491096866
64x8,2048,32,16,v2,8,0.588096022605896,13.625323720199614,0.18500380424327942
64x8,2048,32,64,flashinfer,,0.10790400207042694,74.26044013953465,1.0
64x8,2048,32,64,v1,,0.665120005607605,12.047448007893061,0.16223238086464373
64x8,2048,32,64,v2,8,0.5869759917259216,13.651322710842143,0.183830350119006
64x8,2048,8,16,flashinfer,,0.04806400090456009,41.678795646238676,1.0
64x8,2048,8,16,v1,,0.49158400297164917,4.0750912550694265,0.09777372862829317
64x8,2048,8,16,v2,16,0.17369599640369415,11.533079133188275,0.27671334918308954
64x8,2048,8,16,v0,,1.9237439632415771,1.041328633081839,0.024984614284933496
64x8,2048,8,64,flashinfer,,0.047775998711586,41.930042817838356,1.0
64x8,2048,8,64,v1,,0.49379199743270874,4.056869455270552,0.09675328672797426
64x8,2048,8,64,v2,16,0.17494399845600128,11.450805339547625,0.27309309912452784
64x8,2048,8,64,v0,,1.9271039962768555,1.0395130078667514,0.024791603776386083
64x8,32768,128,16,flashinfer,,5.490176200866699,93.4090085959975,1.0
64x8,32768,128,16,v1,,35.8100471496582,14.320894742111316,0.1533138501025152
64x8,32768,128,16,v2,32,32.90614318847656,15.584686208983847,0.16684350303287168
64x8,32768,128,64,flashinfer,,5.520576000213623,92.89463924062525,1.0
64x8,32768,128,64,v1,,35.84479904174805,14.307010491062,0.1540133059131917
64x8,32768,128,64,v2,32,32.8864631652832,15.594012447093203,0.16786773246085804
